batch_index,batch_size,site_position,site_id,site,domain,previous_sitemap,sitemap_url,discovery_stage,reason,decision,crawl_complete,urls_count,pass_name,checked
2,2000,2949,eref-209522,https://mobilisations.associations-citoyennes.net/,associations-citoyennes.net,,,no_sitemap_found,no_sitemap_found,exclude_candidate,False,0,pass-1,https://mobilisations.associations-citoyennes.net/robots.txt; https://www.mobilisations.associations-citoyennes.net/robots.txt; http://mobilisations.associations-citoyennes.net/robots.txt; http://www.mobilisations.associations-citoyennes.net/robots.txt; https://mobilisations.associations-citoyennes.net/sitemap.xml; https://mobilisations.associations-citoyennes.net/sitemap.xml.gz; https://mobilisations.associations-citoyennes.net/sitemap_index.xml; https://mobilisations.associations-citoyennes.net/sitemap-index.xml; https://mobilisations.associations-citoyennes.net/sitemapindex.xml; https://mobilisations.associations-citoyennes.net/wp-sitemap.xml; https://mobilisations.associations-citoyennes.net/sitemaps.xml; https://mobilisations.associations-citoyennes.net/sitemap.php; https://mobilisations.associations-citoyennes.net/sitemap/sitemap.xml; https://mobilisations.associations-citoyennes.net/sitemap/index.xml; https://mobilisations.associations-citoyennes.net/index.php/sitemap.xml; https://mobilisations.associations-citoyennes.net/index.php/sitemap.xml.gz; https://mobilisations.associations-citoyennes.net/index.php/sitemap_index.xml; https://mobilisations.associations-citoyennes.net/post-sitemap.xml; https://mobilisations.associations-citoyennes.net/page-sitemap.xml; https://mobilisations.associations-citoyennes.net/article-sitemap.xml; https://mobilisations.associations-citoyennes.net/news-sitemap.xml; https://mobilisations.associations-citoyennes.net/product-sitemap.xml; https://mobilisations.associations-citoyennes.net/category-sitemap.xml; https://www.mobilisations.associations-citoyennes.net/sitemap.xml; https://www.mobilisations.associations-citoyennes.net/sitemap.xml.gz; https://www.mobilisations.associations-citoyennes.net/sitemap_index.xml; https://www.mobilisations.associations-citoyennes.net/sitemap-index.xml; https://www.mobilisations.associations-citoyennes.net/sitemapindex.xml; https://www.mobilisations.associations-citoyennes.net/wp-sitemap.xml; https://www.mobilisations.associations-citoyennes.net/sitemaps.xml
2,2000,2950,eref-270532,https://associations-citoyennes.net,associations-citoyennes.net,,https://associations-citoyennes.net/sitemap_index.xml,common_path,ok,ok,True,600,pass-1,https://associations-citoyennes.net/robots.txt; https://www.associations-citoyennes.net/robots.txt; http://associations-citoyennes.net/robots.txt; http://www.associations-citoyennes.net/robots.txt; https://associations-citoyennes.net/sitemap.xml; https://associations-citoyennes.net/sitemap.xml.gz; https://associations-citoyennes.net/sitemap_index.xml
2,2000,2951,eref-148564,https://associazione31ottobre.it,associazione31ottobre.it,,https://associazione31ottobre.it/sitemap_index.xml,common_path,ok,ok,True,1198,pass-1,https://associazione31ottobre.it/robots.txt; https://www.associazione31ottobre.it/robots.txt; http://associazione31ottobre.it/robots.txt; http://www.associazione31ottobre.it/robots.txt; https://associazione31ottobre.it/sitemap.xml
2,2000,2952,eref-148576,https://associazionericerca.it,associazionericerca.it,,https://www.associazionericerca.it/sitemap.xml,common_path,ok,ok,True,1469,pass-1,https://www.associazionericerca.it/robots.txt; https://associazionericerca.it/robots.txt; http://www.associazionericerca.it/robots.txt; http://associazionericerca.it/robots.txt; https://www.associazionericerca.it/sitemap.xml
2,2000,2953,eref-158721,https://www.assocrad.com/,assocrad.com,,https://www.assocrad.com/sitemaps.xml,robots.txt,ok,ok,True,1229,pass-1,https://www.assocrad.com/robots.txt; https://www.assocrad.com/sitemaps.xml
2,2000,2954,eref-213586,https://assolaribambelle.fr,assolaribambelle.fr,,,no_sitemap_found,no_sitemap_found,exclude_candidate,False,0,pass-1,https://www.assolaribambelle.fr/robots.txt; https://assolaribambelle.fr/robots.txt; http://www.assolaribambelle.fr/robots.txt; http://assolaribambelle.fr/robots.txt; https://www.assolaribambelle.fr/sitemap.xml; https://www.assolaribambelle.fr/sitemap.xml.gz; https://www.assolaribambelle.fr/sitemap_index.xml; https://www.assolaribambelle.fr/sitemap-index.xml; https://www.assolaribambelle.fr/sitemapindex.xml; https://www.assolaribambelle.fr/wp-sitemap.xml; https://www.assolaribambelle.fr/sitemaps.xml; https://www.assolaribambelle.fr/sitemap.php; https://www.assolaribambelle.fr/sitemap/sitemap.xml; https://www.assolaribambelle.fr/sitemap/index.xml; https://www.assolaribambelle.fr/index.php/sitemap.xml; https://www.assolaribambelle.fr/index.php/sitemap.xml.gz; https://www.assolaribambelle.fr/index.php/sitemap_index.xml; https://www.assolaribambelle.fr/post-sitemap.xml; https://www.assolaribambelle.fr/page-sitemap.xml; https://www.assolaribambelle.fr/article-sitemap.xml; https://www.assolaribambelle.fr/news-sitemap.xml; https://www.assolaribambelle.fr/product-sitemap.xml; https://www.assolaribambelle.fr/category-sitemap.xml; https://assolaribambelle.fr/sitemap.xml; https://assolaribambelle.fr/sitemap.xml.gz; https://assolaribambelle.fr/sitemap_index.xml; https://assolaribambelle.fr/sitemap-index.xml; https://assolaribambelle.fr/sitemapindex.xml; https://assolaribambelle.fr/wp-sitemap.xml; https://assolaribambelle.fr/sitemaps.xml
2,2000,2955,eref-212282,https://assomat.info,assomat.info,,https://www.assomat.info/sitemap.xml,common_path,ok,ok,True,154,pass-1,https://www.assomat.info/robots.txt; https://assomat.info/sitemap.xml; https://assomat.info/robots.txt; https://assomat.info/sitemap.xml; http://www.assomat.info/robots.txt; https://assomat.info/sitemap.xml; http://assomat.info/robots.txt; https://assomat.info/sitemap.xml; https://www.assomat.info/sitemap.xml
2,2000,2956,eref-200168,https://assontic.fr,assontic.fr,,https://assontic.fr/sitemap_index.xml,robots.txt,ok,ok,True,96,pass-1,https://www.assontic.fr/robots.txt; https://assontic.fr/robots.txt; https://assontic.fr/sitemap_index.xml
2,2000,2957,eref-156513,https://assortismoi.fr/,assortismoi.fr,,https://assortismoi.fr/sitemap_index.xml,robots.txt,ok,ok,True,3227,pass-1,https://assortismoi.fr/robots.txt; https://assortismoi.fr/sitemap_index.xml
2,2000,2958,eref-285918,https://assosehri.fr/,assosehri.fr,,https://assosehri.fr/wp-sitemap.xml,common_path,ok,ok,True,85,pass-1,https://www.assosehri.fr/robots.txt; https://assosehri.fr/robots.txt; http://www.assosehri.fr/robots.txt; http://assosehri.fr/robots.txt; https://www.assosehri.fr/sitemap.xml
2,2000,2959,eref-284434,http://assu-mutuelle.fr,assu-mutuelle.fr,,https://assu-mutuelle.fr/sitemap_index.xml,robots.txt,ok,ok,True,249,pass-1,https://assu-mutuelle.fr/robots.txt; https://assu-mutuelle.fr/sitemap.xml
